,poems
492,"Blanking on something Or another, let it go Off, still out of view "
493,Really just super How you beat your eyes at me The sarcastic slight 
494,Sliding past our truths When experience whispers And touch seems so real 
495,"Woe, self reflection Casts such heavy weight upon Shoulders clean as snow "
496,"Quivering lips quake Shaking, fearing it's all fake Words breaking, broken "
497,To feel all alone No voice from the holy throne Who's even watching 
498,"That burning need, flame To express one's inner self Makes me shed a tear "
499,To break a small heart Then wish to plead forgiveness Ripples in a pond 
500,"I, dandelion seed, Am torn; drifting or take root Ease, wind will decide "
501,Smells rising slowly Pushing the past through the room Amongst the smiles 
502,"Friends share their dark fears Of which you see yourself in Falling, just not now "
503,"Mailable to Be worked, yet it appears to Flow. Conversation "
504,You've come to wisdom When you can articulate Why you are tired 
505,"Try to shake and go Avoid, not complicate, Please Let me separate "
506,The garden bushes And the navy lake's swooshes Converse in hushes 
507,Hello there past life We will surely hug and chat And catch up on life 
508,Sucked by gravity Deep down under your eye lids And across your back 
509,What is the secret To a soft heart and crying? Giving your whole self. 
510,"Heart swoons so lovely Contemplation, don't judge me Grant me your mercy "
511,Blistering blacktop Bending light like a mirage Through thick summer heat 
512,Action breeds action Which cause time to fraction Which fills till release 
513,Silence at sunrise A vacant felling filled quick Traveling alone 
514,Weaving between trees Pierced by the chirping crickets Stretched thin by your love 
515,Comfort with yourself Is the relaxing state of Being just being 
516,Clouds covered the moon. Where does motivation rest? If only I knew. 
517,Large trees hang above A tiny rosemary sprout Whose time has yet come 
518,My family bonds Lie far from the palm frond walks That line my new home 
519,And then it hit me That I know truly nothing Yet I'm still waking 
520,"The plants remember And talk, and feel and flower And out live us all "
521,Don't let the world ice Over things as silly as Speaking to a crowd 
522,Getting shot down sucks Yet afterwards you may feel Like you're quite alive 
523,Her heart was just crushed I want her to be happy Sadly not with him 
524,Return to haikus Locked in 5 7 5 Blocked in like gold bars 
525,The breeze on me Especially by my ears Sharing of its mood 
526,Speak in present tense Holding up your head strongly See past delusion. 
527,Dropping drowsily Dripping with day's doings Of to slumbered dreams 
528,When something's removed Nature forces the space filled Too now with my chest 
529,We all think of ways To capture time to save it On display in art 
530,"Sand in all my gears Painful as it goes, it stopped Must we start again? "
531,Taped back into it That wide eyed flow of life lift Breathing strong and hot 
532,"The base line, drum beat Strumming stings, melodies keys Hopping yelping brass "
533,False words flow from lips Who pay service to the past From a wandering mind 
534,"Rain has come and gone The clouds have split, cracked apart Dirt dries in the sun "
535,Lost in the talkings Of your youth's clever ego While truth beckons thee 
536,One full day of this Or that ever complex thought Surfacing again 
537,See the greats and laugh As your ego is shattered New goals or darkness? 
538,Life slips everywhere With heavy eye lids closing And all the white noise 
539,Fluorescent lighting With white ceramic tiling And I’m still smiling 
540,The sun spent all day Showing off unquestioned might Ripping clouds away 
541,"Why can’t the soul rest “Please, simply bask in the good” I tell my troubles "
542,When you shed those tears Know the angle of youth smiles Up your tall body 
543,"Damp rug, slight askew Foggy window from the steam My body dripping wet "
544,"Before the night leaves Azure pushes blackness out Patient, the sun waits. "
545,I may never see This good friend after he leaves Why're we now apart? 
546,Slinging chirps and tweets Along the pollen filled winds The social birds sing 
547,Tear ducts well up full Smile cracks as the wind blows It will all be fine 
548,"I can't cry despite The loss of hope, love and he Who I was to be "
549,Morning's short sleeved shirt Leaves me shivers when fall winds Push clouds on the sun 
550,Crowned in fair colors Lighter than the white of clouds The plums blossom spring 
551,Fiction gets lighter When the days are long and warm Winter cuts deeper. 
552,Drawing strength from deep From the old half-kept friendships Which have defined you 
553,Loving lost as one I milk your heart for poems You anxiously search 
554,Cooling hail rains down Pattering vigorously On the cement walk 
555,Flesh and intuition Slacked shoulders next to brethern Breathing the same air 
556,I may need to roam Accumulate character To then make a home 
557,Talent fades pastel Blending through tired eyes Glittered by the tears 
558,Constantly cornered With decisions and feelings Wrong's right and good's bad 
559,Try learning for her To show your thoughts grow with hers Pray she may love you 
560,Body as instrument Rippling with the rhythms voice Whipping to the beat 
561,Haikus created For the beauty of language Long since forgotten 
562,When day seems so far The peircing darkness hits bone Open up your eyes 
563,Green fish surfacing Midst the opaque brown water Gulping at the air 
564,Shake off downed spirits When we rise in the morning Still our eyes bare bags 
565,There's monotony That dunks you into Time's flow Others drive you mad 
566,Those twinkling eyes Shock those in the room when their Spirits at lifted 
567,Thick quilt on the bench Rising and falling calmly Drenched in yellow light 
568,Sometimes I can't help Inserting my opinion Testing my own reach 
569,The draw to another With the body here and now While hearts tied in clouds 
570,There is two and one There is multiplicity There is unity 
571,Grass presents a world With a vertical nature To the life below. 
572,Trickle rain through bark Saturating it pitch wet Like the soil beneath 
573,"Near to continue The days filled play of working First, the window's breeze "
574,Hush me waves of moon Singing lullabies of old Until morning rise 
575,"Holding on to what Isn't there caused reckless draws At straws for a ""Yes"" "
576,Explaining yourself By shaking the air around Maybe getting through 
577,"Claw, a verb desperate A noun of destructive force What’s wrapped to my heart "
578,Drained and unrestrained Feeling close to nature's vein Kissing new terrain 
579,Standing by the fire Holding life in my left hand - Goodbye my frog friend 
580,She never loved you But now that she's left away You feel hopes remnants 
581,What should ego think The world grows in my minds eye Yet surely I'm dust 
582,The crack of ice cubes Carried by an August breeze Confuses the deer. 
583,"It grows up not wide It stands rooted, does not hang The fruit with no taste "
584,Fixing the system While mixing his love with hers Twirling through the mind 
585,Beauty appears there And eyes widen and reach out Till it fades within 
586,Trapped in waiting For the proper time to pass To wait no longer 
587,"Wow, reality Makes you sit and wonder why Why I can wonder "
588,Sadness looms so thick That the looking glass plays tricks We wait for the sun 
589,Beauty in your eye Links the beauty that’s inside Even when you cry 
590,"Asking questions, ‘why?’ We never know till we’re there How lucky we’ll be "
591,Enzymes don't function By intelligent design The universe does 
592,The moccasin slides Out to the lake's washed borders To swallow the fish 
593,"I sit bare and wet, Nude are my depths by giving The tears trickle down "
594,Persisting nausea Like symptoms of a torn heart Become the baseline 
595,Pain piercing through cracks As if your walls will crumble. Such contrast to health 
596,Change is a blessing For it is the curse if life When we choose to stop 
597,The room is quite The faces friendly and warm The food delicious 
598,Life is for life's sake Best we live the privilege Let its roots pierce soul 
599,"Keeping eyes open Not falling, comfort, slumber To act with courage "
600,"Hearing from the soul You once loved, long ago now, Back all the sudden. "
601,Returned sense of self Being at ease and relaxed Only to soil it 
602,Balance and order Ratios in relation Math sheds light on truth 
603,"Taste self-expression First, by deep introversion Conversing with Self "
604,Spending the good time Where fresh eyes shine bright as sun And little things fly 
605,Filled with salty air Submerged in sapphire bliss Clouds break and repair 
606,Body aches and pains Are chains to your youthful past Forcing nostalgia 
607,Where was I when rage Ravaged the unhappy man Who had wronged me so 
608,I said the right thing And then we started to talk The old friend I saw 
609,She is cute and nice Yet maturity has yet To dawn and flower 
610,Waiting for a girl Responsibilities drip Onto the cement 
611,Melt shoulders down Out of the daily stressed mold We carry all day 
612,Struck luck locked tightly In the fist of your first friend Who's less thrilled by life 
613,"Words washing, wasted Watering my cheeks doing Not what love need do "
614,"Ah wow, it so seems That aging is truly true Not just far off myth "
615,"Playmate, no end game Tractate, best not look at mine It's all fun and tears "
616,Met a girl who's clean Has bright eyes and a crisp laugh Yet no attraction 
617,"Be the palace gates Your words, the harps and trumpets All honored entrance. "
618,April showers come Bringing thick rain then sunshine To wrap up the day 
619,"Mind splitting, ripping Wading through mapped languages To grasp the unknown "
620,Listen to body It knows a great many things For it has felt years 
621,"Straight laced, shoe shined man Swiftly passing fellow man Stone eyed street walker "
622,Lousy and drowsy Day dreaming daisies away To another place 
623,Recalling lost mindsets And picking through parsed out pasts All to sling a smile 
624,"Art's sublimation Away, to the highest heights Warns, cleave to the now "
625,Drenched and wrung out dry A day can pass through the mind Behind eyelids shut 
626,"The, once stone, branches Loosen and breathe long green breathes Exhaling the spring "
627,Shutter at the thought That days slide by silently Snatching bits of youth 
628,"Options, opossums Playing dead instead, she asks For a decision "
629,"I smile yet blown Down the well was my poise Her ""No"" still not grasped "
630,Thoughts before action That seem to fit perfectly Pass along untapped 
631,Communication Getting choppy so early Where can this all go? 
632,Tore a paper dream Strung taut in sharp wakefulness Wishing to go back 
633,Dense evergreen groves Sectioned by glacier gravel All under the blue 
634,It's no part gilded The Everglades tall green reeds Gators glide between 
635,Blue like shallow ponds Shaken by a friendly footstep Her eyes ripple out 
636,The old men planned it The philosophers guessed it The work horse dragged it 
637,Bubble to the head Phase out of reality Fine with letting go 
638,One expectation Can be the shattering force Of many moments 
639,What the future holds Can press by speculation Or come in its time 
640,Termites gnaw and tare At the core of great giants Like love in my heart 
641,Learning yearning's ways Wishing wanting everything Happened and to stay 
642,Wear a countenance That every single moment May represent you 
643,Through naivety Tears of joy carry far more Legitimacy 
644,Struggling with life Drudged in power dynamics And other humors 
645,Parceled shadows dance From young summer's passing breeze Under unripe figs 
646,When faced with beauty And her light hearted laughter The world starts to spin 
647,"Whining, whirling winds Over long, snow covered, planes Whisper ""who's out there"" "
648,Green trees rest in June Routine until the sun leaves Turn red with passion. 
649,Productivity Of nothing that could be planned On a spring morning 
650,"He learnt something new Was thrilled to share it with you Play shocked, it was known "
651,The sad face muscles Act when fear of the harmony Seizes your singing 
652,Breath that's long and slow The giant turtle sinks down Drawn until the next 
653,The scattering beeps Are mottled by stray coughs here In the hospital 
654,You are who you are When nobody is looking For death reveals truth 
655,A chapter is done And life's reader writer stops And puts the book down 
656,When they grow deeper Into their relationships Humans stand taller 
657,So many humans Some fair others unseemly How much I don't know 
658,Nothing short of dreams Is the laughter of children Playing in full streets 
659,Smells of dried cedar Seep and dance in the hot air Away from the world 
660,Ignore sensation And not write about the breeze Rolling past my face 
661,"Striking deals for love Life's changing, ever slithering In and out of grasp "
662,Locked up in a box With no hope but another Removes your leverage 
663,The truest of fears Is stemmed from awe and wonder Dreading the darkness 
664,Fleet the butterfly March the spring time months away Flashing colored wind 
665,Flaunting in fast lanes Flashing lights soon turn flicker Till black. Smoke crawls up. 
666,"Hear, humanity We're blessed with plurality Yet all is one, one "
667,Push your life force strong To express the unexpected And free your trapped soul 
668,"Round robin mix ups Switches, swaps and changes Let's all settle down "
669,Drifting new talents Sprout from the sun boiled soul As winter dissolves 
670,Abstracting the heart Of universal language Makes it God's gossip 
671,"It's hard to think of Life's greater purpose, on this A beautiful day "
672,"Sending my strengths there, To a place which I can't see Just leaves me yearning "
673,The simplicity Of colors complexly mixed Shows of true talent 
674,Air oscillations My body melts and hardens Dancing up a storm 
675,Forever changing Are my lonely life's musings Swept by wind or time 
676,Hearing word since months From the love you hoped you had Brings a unique grin 
677,Writing winters notes While the warmth of May's evenings Lend their fine bias 
678,"Stay seated, it's best Nail's crest, let me kiss your hand Sailing through blue eyes "
679,Struggling with him Cold Incapability That faceless giant 
680,"Crushing memories Bring crippling emotion Or worse, lack there of "
681,The Suns brilliance Is best seen in the rainbow Or off the moons face 
682,"Why oh why are thy Wandering in and out of Eyes, all their bright eyes "
683,Carve me my future So I may place it upon The wall and forget 
684,"Feeling family Is the same, special, only Once and forever "
685,"Please, my quite self, Listen to the words you heard Live by them after "
686,All of our world is Truth manifesting through its Endless expression 
687,I could be a leaf Inseparable from the tree Carelessly hanging 
688,"Ideology, When you need a little faith When speaking the truth "
689,Listen intently Infer the deepest meaning Then show that you care 
690,Faults that flitter through The filter tween me and you Should not mar our love 
691,"Bitter chocolate, Smelly cheeses and dry wine Teach of human depth "
692,"Sweet touch tastelessly Turns my mouth moist, wides my eyes Deep to sense new worlds "
693,Silk wings’ fragile beat The once caterpillar moved Greens to something sweet 
694,Sunken into breath Drenched in a rhythmic cycle Oh didgeridoo 
695,"Hey You, all of You. You’ve given me your wide world Please don’t take it back "
696,It's as if the sky Is ever contracting itself Leaving the leaves dead 
697,I have had enough With all of this planning stuff I'm ready to sleep 
698,Sit with old regrets Who leave and return again Leaving us dumbstruck 
699,A shatter takes place When dreams meet reality Thus revealing strength 
700,"Frustrated and lost Woe, the part of me that weeps White moonlight floods down "
701,Drowsy days hang on Like ships shining their fog lights Off into the haze 
702,Talking of nothing But feel as though progress made In the whirl of life 
703,His writing hasty The pastures painted paisley Dogs lazily bark 
704,When matters extend Beyond your realm of control It lends perspective 
705,Once may love have fell Thy eye might have met my own And we could be We 
706,Market bustling Filled with bright colored spices And ripening fruit 
707,Thrilled by the prospect But life does not wish to bloom In winters belly 
708,Oh lovely love sings A song aware of loneliness Which wraps you up tight 
709,Unbelievable Is the moon in your green eyes Giving what's given 
710,Simple and selfish Bleating crude emotions Piled profanity 
711,Quiet whispering Hypnotized by flickered flamed Chocked by what you said 
712,"Every rhyme I make Laugh I share, picture I draw Roots me too this life "
713,"Pale coffee gone thick By milk, lonely in your fridge All on the eighth floor "
714,Untangling lie Made by thy youth for reasons Age has hence withered 
715,"Drip-drop, clear waters Flip-flop from the still green lake To still greener grass "
716,The earth spins about And the soul׳as sung many songs Both silent and loud 
717,Embrace suffering. Try not to expect from life What would life expect 
